PassengerId,Survived
1151,2.3685608
1152,4.3674574
1153,2.3685608
1154,3.5851533
1155,1.3965511
1156,3.6232147
1157,3.2277298
1158,3.3056974
1159,3.1638427
1160,3.231577
1161,1.9420515
1162,6.135427
1163,3.2277298
1164,3.1819897
1165,3.2158287
1166,3.1638427
1167,2.2870936
1168,3.406365
1169,5.127974
1170,3.608224
1171,2.5894794
1172,2.7481627
1173,1.2684562
1174,3.2946262
1175,1.4844254
1176,1.4020356
1177,4.51813
1178,3.1017141
1179,2.907841
1180,3.359514
1181,3.2277298
1182,3.3056974
1183,3.586984
1184,3.2277298
1185,7.0042453
1186,4.51813
1187,3.0886447
1188,1.2201363
1189,3.0697806
1190,3.7948437
1191,3.5093198
1192,3.8700235
1193,3.3700626
1194,5.720669
1195,2.8148768
1196,3.231577
1197,8.61249
1198,3.915617
1199,1.2474277
1200,7.5276504
1201,5.4365
1202,2.0186296
1203,2.5488083
1204,3.2277298
1205,4.73103
1206,7.2929125
1207,2.0101097
1208,7.686874
1209,2.2147503
1210,3.1638427
1211,2.4500065
1212,3.0260458
1213,3.127541
1214,3.3455179
1215,4.2268124
1216,5.2420382
1217,2.6807141
1218,2.3014283
1219,5.990171
1220,3.4668865
1221,2.5146582
1222,6.20122
1223,5.1022296
1224,3.2277298
1225,2.127542
1226,3.2277298
1227,3.8087995
1228,3.9080818
1229,5.231233
1230,3.0523236
1231,3.320804
1232,2.0985463
1233,3.8700235
1234,4.25974
1235,7.7284174
1236,3.2401547
1237,1.889307
1238,3.1275108
1239,4.5699162
1240,2.9150617
1241,3.9673693
1242,5.950837
1243,2.9901483
1244,2.139656
1245,6.7366767
1246,1.4139307
1247,6.730209
1248,7.6415277
1249,3.2277298
1250,3.2277298
1251,3.3015952
1252,1.6031463
1253,2.8259425
1254,3.614777
1255,3.2277298
1256,3.3243475
1257,4.1449475
1258,3.1483142
1259,2.5168495
1260,5.948358
1261,3.4820936
1262,2.443216
1263,4.087457
1264,6.5810184
1265,5.730638
1266,7.2712245
1267,6.055717
1268,2.4770584
1269,2.4609728
1270,7.474781
1271,1.3384471
1272,3.2277298
1273,3.0886447
1274,3.1419475
1275,2.0748782
1276,3.266319
1277,3.1534615
1278,2.6995182
1279,7.7370353
1280,2.4195874
1281,1.3674641
1282,2.8454475
1283,6.763715
1284,1.7436028
1285,6.248194
1286,3.396434
1287,2.4845738
1288,2.8148768
1289,6.306004
1290,2.4944532
1291,3.7270079
1292,3.9475336
1293,4.834281
1294,2.8738024
1295,2.0686774
1296,5.608015
1297,2.4962313
1298,2.647705
1299,6.782233
1300,3.231577
1301,1.3130528
1302,3.2946262
1303,4.5241838
1304,3.370538
1305,3.2277298
1306,4.9151173
1307,4.812678
1308,3.2277298
1309,3.3044233
